sensor,indice_balanza,masa_g,error,tiempo_s,fecha_hora_corregida,fecha_hora_pc_sin_corregir,correccion_reloj_s
balanza,152,,Error desde Arduino: HX711 not found.,76.66672650000146,2026-05-28T12:42:38.593,2026-05-28T12:58:08.593,-930
balanza,153,-0.87,,77.65894070000104,2026-05-28T12:42:39.586,2026-05-28T12:58:09.586,-930
balanza,154,,Error desde Arduino: HX711 not found.,77.68212160000076,2026-05-28T12:42:39.613,2026-05-28T12:58:09.613,-930
balanza,155,-0.92,,78.67439710000144,2026-05-28T12:42:40.603,2026-05-28T12:58:10.603,-930
balanza,156,,Error desde Arduino: HX711 not found.,78.69764310000028,2026-05-28T12:42:40.626,2026-05-28T12:58:10.626,-930
balanza,157,-0.98,,79.68968599999971,2026-05-28T12:42:41.620,2026-05-28T12:58:11.620,-930
balanza,158,,Error desde Arduino: HX711 not found.,79.71286760000112,2026-05-28T12:42:41.643,2026-05-28T12:58:11.643,-930
balanza,159,-0.94,,80.70498469999984,2026-05-28T12:42:42.636,2026-05-28T12:58:12.636,-930
balanza,160,,Error desde Arduino: HX711 not found.,80.72809060000145,2026-05-28T12:42:42.660,2026-05-28T12:58:12.660,-930
balanza,161,-0.92,,81.72042950000105,2026-05-28T12:42:43.643,2026-05-28T12:58:13.643,-930
balanza,162,,Error desde Arduino: HX711 not found.,81.74339650000002,2026-05-28T12:42:43.676,2026-05-28T12:58:13.676,-930
balanza,163,-0.98,,82.73585900000035,2026-05-28T12:42:44.668,2026-05-28T12:58:14.668,-930
balanza,164,,Error desde Arduino: HX711 not found.,82.75898700000107,2026-05-28T12:42:44.686,2026-05-28T12:58:14.686,-930
balanza,165,-0.97,,83.75118960000145,2026-05-28T12:42:45.676,2026-05-28T12:58:15.676,-930
balanza,166,,Error desde Arduino: HX711 not found.,83.77427859999989,2026-05-28T12:42:45.703,2026-05-28T12:58:15.703,-930
balanza,167,-1.01,,84.76666930000101,2026-05-28T12:42:46.693,2026-05-28T12:58:16.693,-930
balanza,168,-0.96,,84.77879310000026,2026-05-28T12:42:46.709,2026-05-28T12:58:16.709,-930
balanza,169,,Error desde Arduino: HX711 not found.,84.80187530000148,2026-05-28T12:42:46.726,2026-05-28T12:58:16.726,-930
balanza,170,-1.04,,85.79413879999993,2026-05-28T12:42:47.726,2026-05-28T12:58:17.726,-930
balanza,171,,Error desde Arduino: HX711 not found.,85.81727430000137,2026-05-28T12:42:47.743,2026-05-28T12:58:17.743,-930
balanza,172,-0.95,,86.80958170000122,2026-05-28T12:42:48.736,2026-05-28T12:58:18.736,-930
balanza,173,,Error desde Arduino: HX711 not found.,86.83270249999987,2026-05-28T12:42:48.765,2026-05-28T12:58:18.765,-930
balanza,174,-1.05,,87.82498560000022,2026-05-28T12:42:49.753,2026-05-28T12:58:19.753,-930
balanza,175,,Error desde Arduino: HX711 not found.,87.84807860000001,2026-05-28T12:42:49.776,2026-05-28T12:58:19.776,-930
balanza,176,-1.06,,88.84044770000037,2026-05-28T12:42:50.772,2026-05-28T12:58:20.772,-930
balanza,177,,Error desde Arduino: HX711 not found.,88.86354850000134,2026-05-28T12:42:50.793,2026-05-28T12:58:20.793,-930
balanza,178,-1.03,,89.8559507000009,2026-05-28T12:42:51.786,2026-05-28T12:58:21.786,-930
balanza,179,,Error desde Arduino: HX711 not found.,89.87905649999993,2026-05-28T12:42:51.810,2026-05-28T12:58:21.810,-930
balanza,180,-1.04,,90.87134979999973,2026-05-28T12:42:52.803,2026-05-28T12:58:22.803,-930
balanza,181,,Error desde Arduino: HX711 not found.,90.89439950000087,2026-05-28T12:42:52.826,2026-05-28T12:58:22.826,-930
balanza,182,-1.11,,91.8868137999998,2026-05-28T12:42:53.809,2026-05-28T12:58:23.809,-930
balanza,183,,Error desde Arduino: HX711 not found.,91.90993150000031,2026-05-28T12:42:53.836,2026-05-28T12:58:23.836,-930
balanza,184,-1.07,,92.90228170000046,2026-05-28T12:42:54.826,2026-05-28T12:58:24.826,-930
balanza,185,,Error desde Arduino: HX711 not found.,92.92548390000047,2026-05-28T12:42:54.853,2026-05-28T12:58:24.853,-930
balanza,186,-1.08,,93.9177004000012,2026-05-28T12:42:55.843,2026-05-28T12:58:25.843,-930
