ind_hp,error_hp,voltaje_V,t_hp,fecha_hora_corregida_hp,fecha_hora_pc_hp,sensor_hp,tiempo_s,ind_bal,error_bal,t_bal,fecha_hora_corregida_bal,fecha_hora_pc_bal,masa_g,sensor_bal,delta_t_s
66,,8.8993e-05,16.71478060000004,2026-05-28T08:37:16.857,2026-05-28T08:52:46.857,multimetro,16.71478060000004,30.0,,17.083858599999985,2026-05-28T08:37:17.224,2026-05-28T08:52:47.224,-0.07,balanza,0.36907799999994495
67,,8.9946e-05,16.964848399999937,2026-05-28T08:37:17.107,2026-05-28T08:52:47.107,multimetro,16.964848399999937,30.0,,17.083858599999985,2026-05-28T08:37:17.224,2026-05-28T08:52:47.224,-0.07,balanza,0.11901020000004792
68,,8.981e-05,17.214819599999828,2026-05-28T08:37:17.357,2026-05-28T08:52:47.357,multimetro,17.214819599999828,31.0,Error Arduino: HX711 not found.,17.10714199999984,2026-05-28T08:37:17.248,2026-05-28T08:52:47.248,,balanza,-0.10767759999998816
69,,8.8658e-05,17.464635699999917,2026-05-28T08:37:17.608,2026-05-28T08:52:47.608,multimetro,17.464635699999917,31.0,Error Arduino: HX711 not found.,17.10714199999984,2026-05-28T08:37:17.248,2026-05-28T08:52:47.248,,balanza,-0.3574937000000773
70,,8.848e-05,17.73384629999987,2026-05-28T08:37:17.878,2026-05-28T08:52:47.878,multimetro,17.73384629999987,32.0,,18.0995132999999,2026-05-28T08:37:18.241,2026-05-28T08:52:48.241,-0.02,balanza,0.3656670000000304
71,,8.9265e-05,17.965084400000023,2026-05-28T08:37:18.108,2026-05-28T08:52:48.108,multimetro,17.965084400000023,32.0,,18.0995132999999,2026-05-28T08:37:18.241,2026-05-28T08:52:48.241,-0.02,balanza,0.13442889999987528
72,,8.9255e-05,18.21462489999999,2026-05-28T08:37:18.359,2026-05-28T08:52:48.359,multimetro,18.21462489999999,33.0,Error Arduino: HX711 not found.,18.122702899999922,2026-05-28T08:37:18.264,2026-05-28T08:52:48.264,,balanza,-0.09192200000006778
73,,8.8668e-05,18.46505520000005,2026-05-28T08:37:18.609,2026-05-28T08:52:48.609,multimetro,18.46505520000005,33.0,Error Arduino: HX711 not found.,18.122702899999922,2026-05-28T08:37:18.264,2026-05-28T08:52:48.264,,balanza,-0.3423523000001296
74,,8.8333e-05,18.7147152,2026-05-28T08:37:18.859,2026-05-28T08:52:48.859,multimetro,18.7147152,34.0,,19.11516659999984,2026-05-28T08:37:19.257,2026-05-28T08:52:49.257,-0.02,balanza,0.40045139999983803
75,,8.9024e-05,18.965059699999983,2026-05-28T08:37:19.109,2026-05-28T08:52:49.109,multimetro,18.965059699999983,34.0,,19.11516659999984,2026-05-28T08:37:19.257,2026-05-28T08:52:49.257,-0.02,balanza,0.15010689999985516
