indice,error,tiempo_s,fecha_hora_corregida,fecha_hora_pc,masa_g,sensor,voltaje_V
124,,63.96650969999996,2026-05-28T08:42:33.097,2026-05-28T08:58:03.097,-0.76,balanza,
125,Error Arduino: HX711 not found.,63.98985850000008,2026-05-28T08:42:33.113,2026-05-28T08:58:03.113,,balanza,
32,,64.53470740000012,2026-05-28T08:42:33.666,2026-05-28T08:58:03.666,,multimetro,9.863e-06
126,,64.98210109999991,2026-05-28T08:42:34.113,2026-05-28T08:58:04.113,-0.77,balanza,
127,Error Arduino: HX711 not found.,65.00534760000005,2026-05-28T08:42:34.130,2026-05-28T08:58:04.130,,balanza,
128,,65.99767850000012,2026-05-28T08:42:35.123,2026-05-28T08:58:05.123,-0.74,balanza,
129,Error Arduino: HX711 not found.,66.02081190000013,2026-05-28T08:42:35.147,2026-05-28T08:58:05.147,,balanza,
33,,66.54481190000001,2026-05-28T08:42:35.676,2026-05-28T08:58:05.676,,multimetro,1.2679e-05
130,,67.01333320000003,2026-05-28T08:42:36.143,2026-05-28T08:58:06.143,-0.76,balanza,
131,,67.02542569999991,2026-05-28T08:42:36.147,2026-05-28T08:58:06.147,-0.76,balanza,
132,Error Arduino: HX711 not found.,67.04849239999999,2026-05-28T08:42:36.179,2026-05-28T08:58:06.179,,balanza,
133,,68.04116040000008,2026-05-28T08:42:37.171,2026-05-28T08:58:07.171,-0.78,balanza,
134,Error Arduino: HX711 not found.,68.06448300000011,2026-05-28T08:42:37.193,2026-05-28T08:58:07.193,,balanza,
34,,68.55491260000008,2026-05-28T08:42:37.680,2026-05-28T08:58:07.680,,multimetro,1.0574e-05
135,,69.05675969999993,2026-05-28T08:42:38.186,2026-05-28T08:58:08.186,-0.73,balanza,
136,Error Arduino: HX711 not found.,69.08000519999996,2026-05-28T08:42:38.206,2026-05-28T08:58:08.206,,balanza,
137,,70.07245890000013,2026-05-28T08:42:39.200,2026-05-28T08:58:09.200,-0.71,balanza,
138,Error Arduino: HX711 not found.,70.09572470000012,2026-05-28T08:42:39.223,2026-05-28T08:58:09.223,,balanza,
35,,70.56444660000011,2026-05-28T08:42:39.690,2026-05-28T08:58:09.690,,multimetro,1.1904e-05
139,,71.08801349999999,2026-05-28T08:42:40.213,2026-05-28T08:58:10.213,-0.73,balanza,
140,Error Arduino: HX711 not found.,71.11136220000003,2026-05-28T08:42:40.240,2026-05-28T08:58:10.240,,balanza,
141,,72.10350829999993,2026-05-28T08:42:41.234,2026-05-28T08:58:11.234,-0.78,balanza,
142,Error Arduino: HX711 not found.,72.12668570000005,2026-05-28T08:42:41.250,2026-05-28T08:58:11.250,,balanza,
36,,72.57546619999994,2026-05-28T08:42:41.706,2026-05-28T08:58:11.706,,multimetro,1.158e-05
143,,73.11921600000005,2026-05-28T08:42:42.247,2026-05-28T08:58:12.247,-0.78,balanza,
144,Error Arduino: HX711 not found.,73.14259689999994,2026-05-28T08:42:42.273,2026-05-28T08:58:12.273,,balanza,
145,,74.13486929999999,2026-05-28T08:42:43.266,2026-05-28T08:58:13.266,-0.76,balanza,
146,Error Arduino: HX711 not found.,74.15802950000011,2026-05-28T08:42:43.282,2026-05-28T08:58:13.282,,balanza,
37,,74.58467599999994,2026-05-28T08:42:43.713,2026-05-28T08:58:13.713,,multimetro,1.2354e-05
147,,75.15041049999991,2026-05-28T08:42:44.281,2026-05-28T08:58:14.281,-0.78,balanza,
148,Error Arduino: HX711 not found.,75.17362030000004,2026-05-28T08:42:44.304,2026-05-28T08:58:14.304,,balanza,
149,,76.16607240000008,2026-05-28T08:42:45.297,2026-05-28T08:58:15.297,-0.77,balanza,
150,Error Arduino: HX711 not found.,76.18919630000005,2026-05-28T08:42:45.313,2026-05-28T08:58:15.313,,balanza,
38,,76.59464400000002,2026-05-28T08:42:45.723,2026-05-28T08:58:15.723,,multimetro,1.1464e-05
151,,77.1818568000001,2026-05-28T08:42:46.313,2026-05-28T08:58:16.313,-0.73,balanza,
152,Error Arduino: HX711 not found.,77.20507399999997,2026-05-28T08:42:46.330,2026-05-28T08:58:16.330,,balanza,
153,,78.197363,2026-05-28T08:42:47.325,2026-05-28T08:58:17.325,-0.75,balanza,
154,Error Arduino: HX711 not found.,78.2204663,2026-05-28T08:42:47.347,2026-05-28T08:58:17.347,,balanza,
39,,78.60499709999999,2026-05-28T08:42:47.730,2026-05-28T08:58:17.730,,multimetro,1.0951e-05
